downtime_id,run_id,machine_id,date,reason_code,duration_minutes,cost_impact_usd
DT-38,RUN-1260,M-120,2024-02-16,ELECTRICAL_FAULT,96,6720
DT-39,RUN-1358,M-107,2024-02-20,MECHANICAL_THERMAL,26,2080
DT-40,RUN-1389,M-112,2024-02-21,ELECTRICAL_FAULT,99,6930
DT-41,RUN-1443,M-113,2024-02-23,MECHANICAL_THERMAL,51,4080
DT-42,RUN-1448,M-120,2024-02-23,MECHANICAL_THERMAL,115,9200
DT-43,RUN-1449,M-119,2024-02-23,MECHANICAL_THERMAL,37,2960
DT-44,RUN-1456,M-130,2024-02-23,MECHANICAL_THERMAL,64,5120
DT-45,RUN-1467,M-108,2024-02-24,ELECTRICAL_FAULT,202,14140
DT-46,RUN-1469,M-111,2024-02-24,TOOLING_CHANGEOVER,167,7515
DT-47,RUN-1478,M-122,2024-02-24,TOOLING_CHANGEOVER,71,3195
DT-48,RUN-1490,M-104,2024-02-25,ELECTRICAL_FAULT,94,6580
DT-49,RUN-1493,M-107,2024-02-25,MECHANICAL_THERMAL,63,5040
DT-50,RUN-1539,M-129,2024-02-26,ELECTRICAL_FAULT,108,7560
DT-51,RUN-1589,M-126,2024-02-28,OVERLOAD_STOPPAGE,125,7500
DT-52,RUN-1598,M-104,2024-02-29,OVERLOAD_STOPPAGE,71,4260
DT-53,RUN-1640,M-123,2024-03-01,MECHANICAL_THERMAL,138,11040
DT-54,RUN-1656,M-108,2024-03-02,MECHANICAL_THERMAL,75,6000
DT-55,RUN-1666,M-122,2024-03-02,ELECTRICAL_FAULT,140,9800
DT-56,RUN-1687,M-116,2024-03-03,MECHANICAL_THERMAL,134,10720
DT-57,RUN-1745,M-118,2024-03-05,ELECTRICAL_FAULT,29,2030
DT-58,RUN-1786,M-104,2024-03-07,MECHANICAL_THERMAL,113,9040
DT-59,RUN-1848,M-112,2024-03-09,MECHANICAL_THERMAL,117,9360
DT-60,RUN-1883,M-123,2024-03-10,OVERLOAD_STOPPAGE,62,3720
DT-61,RUN-1903,M-116,2024-03-11,ELECTRICAL_FAULT,61,4270
DT-62,RUN-1913,M-127,2024-03-11,ELECTRICAL_FAULT,113,7910
DT-63,RUN-1953,M-109,2024-03-13,OVERLOAD_STOPPAGE,181,10860
DT-64,RUN-2004,M-106,2024-03-15,ELECTRICAL_FAULT,58,4060
DT-65,RUN-2023,M-129,2024-03-15,OVERLOAD_STOPPAGE,54,3240
DT-66,RUN-2070,M-119,2024-03-17,UNPLANNED_OTHER,69,3450
DT-67,RUN-2091,M-113,2024-03-18,ELECTRICAL_FAULT,25,1750
DT-68,RUN-2107,M-101,2024-03-19,OVERLOAD_STOPPAGE,112,6720
DT-69,RUN-2187,M-130,2024-03-21,ELECTRICAL_FAULT,63,4410
DT-70,RUN-2196,M-108,2024-03-22,ELECTRICAL_FAULT,89,6230
DT-71,RUN-2256,M-116,2024-03-24,ELECTRICAL_FAULT,148,10360
DT-72,RUN-2317,M-127,2024-03-26,TOOLING_CHANGEOVER,108,4860
DT-73,RUN-2324,M-103,2024-03-27,ELECTRICAL_FAULT,80,5600
DT-74,RUN-2348,M-128,2024-03-27,TOOLING_CHANGEOVER,89,4005
DT-75,RUN-2362,M-116,2024-03-28,OVERLOAD_STOPPAGE,85,5100
DT-76,RUN-2405,M-102,2024-03-30,MECHANICAL_THERMAL,121,9680
DT-77,RUN-2440,M-113,2024-03-31,TOOLING_CHANGEOVER,166,7470
DT-78,RUN-2445,M-115,2024-03-31,TOOLING_CHANGEOVER,80,3600
DT-79,RUN-2541,M-103,2024-04-04,ELECTRICAL_FAULT,127,8890
DT-80,RUN-2546,M-108,2024-04-04,ELECTRICAL_FAULT,86,6020
DT-81,RUN-2582,M-119,2024-04-05,ELECTRICAL_FAULT,5,350
DT-82,RUN-2630,M-111,2024-04-07,OVERLOAD_STOPPAGE,107,6420
DT-83,RUN-2647,M-101,2024-04-08,ELECTRICAL_FAULT,106,7420
DT-84,RUN-2688,M-115,2024-04-09,ELECTRICAL_FAULT,142,9940
DT-85,RUN-2715,M-115,2024-04-10,UNPLANNED_OTHER,26,1300
DT-86,RUN-2779,M-129,2024-04-12,TOOLING_CHANGEOVER,5,225
DT-87,RUN-2786,M-105,2024-04-13,OVERLOAD_STOPPAGE,9,540
DT-88,RUN-2839,M-104,2024-04-15,MECHANICAL_THERMAL,132,10560
DT-89,RUN-2873,M-113,2024-04-16,OVERLOAD_STOPPAGE,64,3840
DT-90,RUN-2919,M-103,2024-04-18,ELECTRICAL_FAULT,85,5950
DT-91,RUN-2995,M-129,2024-04-20,ELECTRICAL_FAULT,44,3080
DT-92,RUN-3100,M-125,2024-04-24,OVERLOAD_STOPPAGE,57,3420
DT-93,RUN-3151,M-122,2024-04-26,ELECTRICAL_FAULT,54,3780
DT-94,RUN-3160,M-101,2024-04-27,ELECTRICAL_FAULT,111,7770
DT-95,RUN-3175,M-120,2024-04-27,ELECTRICAL_FAULT,88,6160
DT-96,RUN-3204,M-118,2024-04-28,ELECTRICAL_FAULT,5,350
DT-97,RUN-3247,M-108,2024-04-30,MECHANICAL_THERMAL,16,1280
DT-98,RUN-3263,M-127,2024-04-30,ELECTRICAL_FAULT,71,4970
DT-99,RUN-3304,M-111,2024-05-02,MECHANICAL_THERMAL,109,8720
DT-100,RUN-3336,M-117,2024-05-03,MECHANICAL_THERMAL,103,8240
DT-101,RUN-3412,M-114,2024-05-06,TOOLING_CHANGEOVER,153,6885
DT-102,RUN-3414,M-112,2024-05-06,TOOLING_CHANGEOVER,129,5805
DT-103,RUN-3428,M-131,2024-05-06,OVERLOAD_STOPPAGE,133,7980
DT-104,RUN-3497,M-115,2024-05-09,MECHANICAL_THERMAL,99,7920
DT-105,RUN-3518,M-107,2024-05-10,OVERLOAD_STOPPAGE,182,10920
DT-106,RUN-3540,M-102,2024-05-11,OVERLOAD_STOPPAGE,28,1680
DT-107,RUN-3571,M-107,2024-05-12,MECHANICAL_THERMAL,52,4160
DT-108,RUN-3626,M-108,2024-05-14,MECHANICAL_THERMAL,173,13840
DT-109,RUN-3629,M-112,2024-05-14,MECHANICAL_THERMAL,5,400
DT-110,RUN-3665,M-122,2024-05-15,OVERLOAD_STOPPAGE,71,4260
DT-111,RUN-3676,M-104,2024-05-16,OVERLOAD_STOPPAGE,188,11280
DT-112,RUN-3679,M-107,2024-05-16,MECHANICAL_THERMAL,103,8240
DT-113,RUN-3760,M-108,2024-05-19,MECHANICAL_THERMAL,131,10480
DT-114,RUN-3790,M-112,2024-05-20,TOOLING_CHANGEOVER,101,4545
DT-115,RUN-3817,M-113,2024-05-21,ELECTRICAL_FAULT,76,5320
DT-116,RUN-3836,M-102,2024-05-22,OVERLOAD_STOPPAGE,47,2820
DT-117,RUN-3866,M-104,2024-05-23,ELECTRICAL_FAULT,158,11060
DT-118,RUN-3892,M-104,2024-05-24,MECHANICAL_THERMAL,5,400
DT-119,RUN-3909,M-122,2024-05-24,MECHANICAL_THERMAL,68,5440
DT-120,RUN-3932,M-119,2024-05-25,OVERLOAD_STOPPAGE,67,4020
DT-121,RUN-3952,M-112,2024-05-26,MECHANICAL_THERMAL,112,8960
DT-122,RUN-3956,M-115,2024-05-26,MECHANICAL_THERMAL,93,7440
DT-123,RUN-3988,M-123,2024-05-27,MECHANICAL_THERMAL,88,7040
DT-124,RUN-4038,M-115,2024-05-29,ELECTRICAL_FAULT,99,6930
DT-125,RUN-4165,M-110,2024-06-03,MECHANICAL_THERMAL,49,3920
DT-126,RUN-4173,M-115,2024-06-03,ELECTRICAL_FAULT,134,9380
DT-127,RUN-4181,M-127,2024-06-03,MECHANICAL_THERMAL,74,5920
DT-128,RUN-4382,M-108,2024-06-11,OVERLOAD_STOPPAGE,78,4680
DT-129,RUN-4392,M-118,2024-06-11,MECHANICAL_THERMAL,119,9520
DT-130,RUN-4396,M-127,2024-06-11,TOOLING_CHANGEOVER,81,3645
DT-131,RUN-4406,M-104,2024-06-12,MECHANICAL_THERMAL,81,6480
DT-132,RUN-4443,M-115,2024-06-13,OVERLOAD_STOPPAGE,5,300
DT-133,RUN-4518,M-107,2024-06-16,ELECTRICAL_FAULT,86,6020
DT-134,RUN-4522,M-116,2024-06-16,MECHANICAL_THERMAL,137,10960
DT-135,RUN-4570,M-108,2024-06-18,ELECTRICAL_FAULT,133,9310
DT-136,RUN-4578,M-115,2024-06-18,OVERLOAD_STOPPAGE,116,6960
DT-137,RUN-4655,M-111,2024-06-21,OVERLOAD_STOPPAGE,141,8460
DT-138,RUN-4675,M-105,2024-06-22,TOOLING_CHANGEOVER,5,225
DT-139,RUN-4725,M-131,2024-06-23,ELECTRICAL_FAULT,37,2590
DT-140,RUN-4901,M-116,2024-06-30,OVERLOAD_STOPPAGE,55,3300
DT-141,RUN-4935,M-122,2024-07-01,TOOLING_CHANGEOVER,108,4860
DT-142,RUN-4953,M-112,2024-07-02,MECHANICAL_THERMAL,60,4800
DT-143,RUN-4966,M-130,2024-07-02,OVERLOAD_STOPPAGE,101,6060
DT-144,RUN-4984,M-120,2024-07-03,OVERLOAD_STOPPAGE,94,5640
DT-145,RUN-5017,M-127,2024-07-04,ELECTRICAL_FAULT,107,7490
DT-146,RUN-5036,M-116,2024-07-05,UNPLANNED_OTHER,97,4850
DT-147,RUN-5092,M-118,2024-07-07,MECHANICAL_THERMAL,55,4400
DT-148,RUN-5096,M-122,2024-07-07,ELECTRICAL_FAULT,114,7980
DT-149,RUN-5097,M-123,2024-07-07,OVERLOAD_STOPPAGE,183,10980
DT-150,RUN-5114,M-113,2024-07-08,MECHANICAL_THERMAL,73,5840
DT-151,RUN-5147,M-120,2024-07-09,MECHANICAL_THERMAL,153,12240
DT-152,RUN-5172,M-116,2024-07-10,UNPLANNED_OTHER,55,2750
DT-153,RUN-5191,M-107,2024-07-11,MECHANICAL_THERMAL,54,4320
DT-154,RUN-5196,M-111,2024-07-11,OVERLOAD_STOPPAGE,45,2700
DT-155,RUN-5209,M-131,2024-07-11,MECHANICAL_THERMAL,106,8480
DT-156,RUN-5400,M-131,2024-07-18,ELECTRICAL_FAULT,77,5390
DT-157,RUN-5417,M-119,2024-07-19,MECHANICAL_THERMAL,32,2560
DT-158,RUN-5435,M-108,2024-07-20,MECHANICAL_THERMAL,55,4400
DT-159,RUN-5439,M-113,2024-07-20,ELECTRICAL_FAULT,51,3570
DT-160,RUN-5466,M-114,2024-07-21,ELECTRICAL_FAULT,115,8050
DT-161,RUN-5506,M-131,2024-07-22,MECHANICAL_THERMAL,64,5120
DT-162,RUN-5519,M-114,2024-07-23,MECHANICAL_THERMAL,14,1120
DT-163,RUN-5552,M-118,2024-07-24,OVERLOAD_STOPPAGE,9,540
DT-164,RUN-5588,M-129,2024-07-25,MECHANICAL_THERMAL,104,8320
DT-165,RUN-5597,M-109,2024-07-26,TOOLING_CHANGEOVER,63,2835
DT-166,RUN-5602,M-117,2024-07-26,MECHANICAL_THERMAL,111,8880
DT-167,RUN-5608,M-122,2024-07-26,ELECTRICAL_FAULT,99,6930
DT-168,RUN-5610,M-121,2024-07-26,MECHANICAL_THERMAL,113,9040
DT-169,RUN-5661,M-120,2024-07-28,TOOLING_CHANGEOVER,182,8190
DT-170,RUN-5666,M-127,2024-07-28,OVERLOAD_STOPPAGE,116,6960
DT-171,RUN-5729,M-106,2024-07-31,MECHANICAL_THERMAL,126,10080
DT-172,RUN-5862,M-102,2024-08-05,MECHANICAL_THERMAL,59,4720
DT-173,RUN-5895,M-110,2024-08-06,TOOLING_CHANGEOVER,59,2655
DT-174,RUN-5931,M-120,2024-08-07,UNPLANNED_OTHER,65,3250
DT-175,RUN-5955,M-117,2024-08-08,MECHANICAL_THERMAL,158,12640
DT-176,RUN-5967,M-128,2024-08-08,UNPLANNED_OTHER,81,4050
DT-177,RUN-5979,M-112,2024-08-09,ELECTRICAL_FAULT,97,6790
DT-178,RUN-5990,M-127,2024-08-09,MECHANICAL_THERMAL,170,13600
DT-179,RUN-6034,M-116,2024-08-11,TOOLING_CHANGEOVER,52,2340
DT-180,RUN-6056,M-109,2024-08-12,MECHANICAL_THERMAL,83,6640
DT-181,RUN-6080,M-104,2024-08-13,ELECTRICAL_FAULT,108,7560
DT-182,RUN-6082,M-108,2024-08-13,ELECTRICAL_FAULT,155,10850
DT-183,RUN-6092,M-118,2024-08-13,MECHANICAL_THERMAL,65,5200
DT-184,RUN-6143,M-115,2024-08-15,ELECTRICAL_FAULT,125,8750
DT-185,RUN-6145,M-120,2024-08-15,ELECTRICAL_FAULT,202,14140
DT-186,RUN-6162,M-104,2024-08-16,ELECTRICAL_FAULT,116,8120
DT-187,RUN-6163,M-107,2024-08-16,TOOLING_CHANGEOVER,115,5175
DT-188,RUN-6213,M-102,2024-08-18,OVERLOAD_STOPPAGE,78,4680
DT-189,RUN-6215,M-104,2024-08-18,MECHANICAL_THERMAL,158,12640
DT-190,RUN-6219,M-107,2024-08-18,MECHANICAL_THERMAL,95,7600
DT-191,RUN-6268,M-106,2024-08-20,OVERLOAD_STOPPAGE,5,300
DT-192,RUN-6271,M-107,2024-08-20,MECHANICAL_THERMAL,108,8640
DT-193,RUN-6281,M-118,2024-08-20,OVERLOAD_STOPPAGE,47,2820
DT-194,RUN-6299,M-107,2024-08-21,MECHANICAL_THERMAL,97,7760
DT-195,RUN-6325,M-108,2024-08-22,ELECTRICAL_FAULT,81,5670
DT-196,RUN-6338,M-122,2024-08-22,ELECTRICAL_FAULT,73,5110
DT-197,RUN-6351,M-104,2024-08-23,OVERLOAD_STOPPAGE,32,1920
DT-198,RUN-6367,M-125,2024-08-23,MECHANICAL_THERMAL,74,5920
DT-199,RUN-6372,M-129,2024-08-23,MECHANICAL_THERMAL,137,10960
DT-200,RUN-6380,M-109,2024-08-24,MECHANICAL_THERMAL,59,4720
DT-201,RUN-6385,M-116,2024-08-24,TOOLING_CHANGEOVER,99,4455
DT-202,RUN-6395,M-127,2024-08-24,ELECTRICAL_FAULT,99,6930
DT-203,RUN-6481,M-103,2024-08-28,ELECTRICAL_FAULT,95,6650
DT-204,RUN-6554,M-122,2024-08-30,OVERLOAD_STOPPAGE,67,4020
DT-205,RUN-6555,M-123,2024-08-30,MECHANICAL_THERMAL,94,7520
DT-206,RUN-6598,M-111,2024-09-01,OVERLOAD_STOPPAGE,54,3240
DT-207,RUN-6599,M-111,2024-09-01,MECHANICAL_THERMAL,67,5360
DT-208,RUN-6704,M-109,2024-09-05,MECHANICAL_THERMAL,56,4480
DT-209,RUN-6757,M-108,2024-09-07,OVERLOAD_STOPPAGE,141,8460
DT-210,RUN-6791,M-115,2024-09-08,ELECTRICAL_FAULT,140,9800
DT-211,RUN-6845,M-117,2024-09-10,ELECTRICAL_FAULT,139,9730
DT-212,RUN-6867,M-110,2024-09-11,MECHANICAL_THERMAL,157,12560
DT-213,RUN-6868,M-113,2024-09-11,MECHANICAL_THERMAL,126,10080
DT-214,RUN-7059,M-113,2024-09-18,OVERLOAD_STOPPAGE,83,4980
DT-215,RUN-7084,M-112,2024-09-19,OVERLOAD_STOPPAGE,30,1800
DT-216,RUN-7107,M-105,2024-09-20,MECHANICAL_THERMAL,44,3520
DT-217,RUN-7109,M-109,2024-09-20,TOOLING_CHANGEOVER,46,2070
DT-218,RUN-7112,M-111,2024-09-20,OVERLOAD_STOPPAGE,159,9540
DT-219,RUN-7127,M-130,2024-09-20,ELECTRICAL_FAULT,30,2100
DT-220,RUN-7141,M-116,2024-09-21,OVERLOAD_STOPPAGE,64,3840
DT-221,RUN-7163,M-107,2024-09-22,OVERLOAD_STOPPAGE,58,3480
DT-222,RUN-7169,M-117,2024-09-22,MECHANICAL_THERMAL,92,7360
DT-223,RUN-7170,M-115,2024-09-22,ELECTRICAL_FAULT,105,7350
DT-224,RUN-7218,M-108,2024-09-24,OVERLOAD_STOPPAGE,70,4200
DT-225,RUN-7247,M-113,2024-09-25,OVERLOAD_STOPPAGE,63,3780
DT-226,RUN-7275,M-114,2024-09-26,MECHANICAL_THERMAL,99,7920
DT-227,RUN-7299,M-107,2024-09-27,ELECTRICAL_FAULT,32,2240
DT-228,RUN-7303,M-117,2024-09-27,MECHANICAL_THERMAL,96,7680
DT-229,RUN-7310,M-123,2024-09-27,MECHANICAL_THERMAL,134,10720
DT-230,RUN-7371,M-130,2024-09-29,OVERLOAD_STOPPAGE,46,2760
DT-231,RUN-7436,M-111,2024-10-02,MECHANICAL_THERMAL,36,2880
DT-232,RUN-7441,M-119,2024-10-02,OVERLOAD_STOPPAGE,50,3000
DT-233,RUN-7448,M-125,2024-10-02,MECHANICAL_THERMAL,45,3600
DT-234,RUN-7486,M-108,2024-10-04,MECHANICAL_THERMAL,75,6000
DT-235,RUN-7521,M-115,2024-10-05,OVERLOAD_STOPPAGE,21,1260
DT-236,RUN-7531,M-129,2024-10-05,MECHANICAL_THERMAL,62,4960
DT-237,RUN-7547,M-116,2024-10-06,UNPLANNED_OTHER,63,3150
DT-238,RUN-7668,M-130,2024-10-10,UNPLANNED_OTHER,93,4650
DT-239,RUN-7674,M-104,2024-10-11,MECHANICAL_THERMAL,177,14160
DT-240,RUN-7796,M-122,2024-10-15,TOOLING_CHANGEOVER,122,5490
DT-241,RUN-7818,M-116,2024-10-16,ELECTRICAL_FAULT,86,6020
DT-242,RUN-7820,M-119,2024-10-16,OVERLOAD_STOPPAGE,132,7920
DT-243,RUN-7826,M-126,2024-10-16,ELECTRICAL_FAULT,43,3010
DT-244,RUN-7828,M-129,2024-10-16,OVERLOAD_STOPPAGE,93,5580
DT-245,RUN-7835,M-104,2024-10-17,ELECTRICAL_FAULT,69,4830
DT-246,RUN-7838,M-107,2024-10-17,MECHANICAL_THERMAL,76,6080
DT-247,RUN-7866,M-109,2024-10-18,MECHANICAL_THERMAL,74,5920
DT-248,RUN-7871,M-116,2024-10-18,ELECTRICAL_FAULT,137,9590
DT-249,RUN-7904,M-123,2024-10-19,UNPLANNED_OTHER,12,600
DT-250,RUN-7931,M-123,2024-10-20,UNPLANNED_OTHER,130,6500
DT-251,RUN-7951,M-116,2024-10-21,MECHANICAL_THERMAL,86,6880
DT-252,RUN-7954,M-120,2024-10-21,TOOLING_CHANGEOVER,78,3510
DT-253,RUN-7996,M-104,2024-10-23,TOOLING_CHANGEOVER,87,3915
DT-254,RUN-8038,M-122,2024-10-24,OVERLOAD_STOPPAGE,74,4440
DT-255,RUN-8055,M-108,2024-10-25,OVERLOAD_STOPPAGE,60,3600
DT-256,RUN-8089,M-119,2024-10-26,OVERLOAD_STOPPAGE,103,6180
DT-257,RUN-8119,M-122,2024-10-27,MECHANICAL_THERMAL,107,8560
DT-258,RUN-8121,M-122,2024-10-27,OVERLOAD_STOPPAGE,15,900
DT-259,RUN-8152,M-128,2024-10-28,OVERLOAD_STOPPAGE,64,3840
DT-260,RUN-8158,M-104,2024-10-29,ELECTRICAL_FAULT,5,350
DT-261,RUN-8171,M-120,2024-10-29,UNPLANNED_OTHER,14,700
DT-262,RUN-8208,M-129,2024-10-30,ELECTRICAL_FAULT,101,7070
DT-263,RUN-8220,M-112,2024-10-31,MECHANICAL_THERMAL,46,3680
DT-264,RUN-8321,M-104,2024-11-04,TOOLING_CHANGEOVER,6,270
DT-265,RUN-8352,M-109,2024-11-05,MECHANICAL_THERMAL,148,11840
DT-266,RUN-8396,M-128,2024-11-06,ELECTRICAL_FAULT,96,6720
DT-267,RUN-8418,M-121,2024-11-07,MECHANICAL_THERMAL,71,5680
DT-268,RUN-8425,M-101,2024-11-08,OVERLOAD_STOPPAGE,71,4260
DT-269,RUN-8435,M-113,2024-11-08,OVERLOAD_STOPPAGE,97,5820
DT-270,RUN-8455,M-104,2024-11-09,UNPLANNED_OTHER,150,7500
DT-271,RUN-8457,M-104,2024-11-09,MECHANICAL_THERMAL,107,8560
DT-272,RUN-8487,M-109,2024-11-10,ELECTRICAL_FAULT,128,8960
DT-273,RUN-8510,M-105,2024-11-11,ELECTRICAL_FAULT,125,8750
DT-274,RUN-8541,M-109,2024-11-12,ELECTRICAL_FAULT,93,6510
DT-275,RUN-8549,M-118,2024-11-12,MECHANICAL_THERMAL,101,8080
DT-276,RUN-8647,M-109,2024-11-16,MECHANICAL_THERMAL,70,5600
DT-277,RUN-8694,M-130,2024-11-17,ELECTRICAL_FAULT,160,11200
DT-278,RUN-8703,M-108,2024-11-18,OVERLOAD_STOPPAGE,136,8160
DT-279,RUN-8707,M-116,2024-11-18,MECHANICAL_THERMAL,12,960
DT-280,RUN-8720,M-130,2024-11-18,MECHANICAL_THERMAL,54,4320
DT-281,RUN-8832,M-101,2024-11-23,ELECTRICAL_FAULT,37,2590
DT-282,RUN-8844,M-116,2024-11-23,OVERLOAD_STOPPAGE,73,4380
DT-283,RUN-8851,M-127,2024-11-23,OVERLOAD_STOPPAGE,89,5340
DT-284,RUN-8879,M-127,2024-11-24,OVERLOAD_STOPPAGE,102,6120
DT-285,RUN-8941,M-104,2024-11-27,MECHANICAL_THERMAL,74,5920
DT-286,RUN-8964,M-130,2024-11-27,TOOLING_CHANGEOVER,98,4410
DT-287,RUN-9025,M-108,2024-11-30,ELECTRICAL_FAULT,37,2590
DT-288,RUN-9065,M-123,2024-12-01,OVERLOAD_STOPPAGE,85,5100
DT-289,RUN-9082,M-112,2024-12-02,MECHANICAL_THERMAL,121,9680
DT-290,RUN-9088,M-118,2024-12-02,ELECTRICAL_FAULT,76,5320
DT-291,RUN-9113,M-115,2024-12-03,OVERLOAD_STOPPAGE,59,3540
DT-292,RUN-9135,M-107,2024-12-04,OVERLOAD_STOPPAGE,93,5580
DT-293,RUN-9202,M-127,2024-12-06,OVERLOAD_STOPPAGE,105,6300
DT-294,RUN-9260,M-130,2024-12-08,OVERLOAD_STOPPAGE,42,2520
DT-295,RUN-9277,M-118,2024-12-09,UNPLANNED_OTHER,103,5150
DT-296,RUN-9293,M-104,2024-12-10,TOOLING_CHANGEOVER,152,6840
DT-297,RUN-9301,M-116,2024-12-10,MECHANICAL_THERMAL,94,7520
DT-298,RUN-9303,M-115,2024-12-10,TOOLING_CHANGEOVER,45,2025
DT-299,RUN-9459,M-109,2024-12-16,MECHANICAL_THERMAL,101,8080
DT-300,RUN-9531,M-129,2024-12-18,OVERLOAD_STOPPAGE,95,5700
DT-301,RUN-9554,M-127,2024-12-19,MECHANICAL_THERMAL,94,7520
DT-302,RUN-9556,M-129,2024-12-19,MECHANICAL_THERMAL,86,6880
DT-303,RUN-9573,M-116,2024-12-20,ELECTRICAL_FAULT,142,9940
DT-304,RUN-9647,M-110,2024-12-23,MECHANICAL_THERMAL,125,10000
DT-305,RUN-9650,M-112,2024-12-23,TOOLING_CHANGEOVER,92,4140
DT-306,RUN-9681,M-116,2024-12-24,ELECTRICAL_FAULT,72,5040
DT-307,RUN-9739,M-122,2024-12-26,OVERLOAD_STOPPAGE,167,10020
DT-308,RUN-9755,M-107,2024-12-27,OVERLOAD_STOPPAGE,44,2640
DT-309,RUN-9758,M-113,2024-12-27,MECHANICAL_THERMAL,79,6320
DT-310,RUN-9768,M-123,2024-12-27,ELECTRICAL_FAULT,189,13230
DT-311,RUN-9782,M-108,2024-12-28,MECHANICAL_THERMAL,145,11600
DT-312,RUN-9814,M-115,2024-12-29,OVERLOAD_STOPPAGE,78,4680
DT-313,RUN-9823,M-127,2024-12-29,MECHANICAL_THERMAL,55,4400
DT-314,RUN-9853,M-129,2024-12-30,MECHANICAL_THERMAL,60,4800
DT-315,RUN-9881,M-128,2024-12-31,MECHANICAL_THERMAL,67,5360
DT-316,RUN-9897,M-116,2025-01-01,TOOLING_CHANGEOVER,105,4725
DT-317,RUN-9915,M-104,2025-01-02,MECHANICAL_THERMAL,99,7920
DT-318,RUN-9916,M-108,2025-01-02,ELECTRICAL_FAULT,5,350
DT-319,RUN-9952,M-120,2025-01-03,MECHANICAL_THERMAL,33,2640
DT-320,RUN-10052,M-107,2025-01-07,OVERLOAD_STOPPAGE,99,5940
DT-321,RUN-10054,M-114,2025-01-07,TOOLING_CHANGEOVER,22,990
DT-322,RUN-10118,M-123,2025-01-09,OVERLOAD_STOPPAGE,118,7080
DT-323,RUN-10130,M-104,2025-01-10,ELECTRICAL_FAULT,161,11270
DT-324,RUN-10186,M-108,2025-01-12,ELECTRICAL_FAULT,108,7560
DT-325,RUN-10228,M-127,2025-01-13,ELECTRICAL_FAULT,68,4760
DT-326,RUN-10245,M-113,2025-01-14,ELECTRICAL_FAULT,29,2030
DT-327,RUN-10293,M-106,2025-01-16,OVERLOAD_STOPPAGE,192,11520
DT-328,RUN-10310,M-126,2025-01-16,MECHANICAL_THERMAL,146,11680
